,Text,Label
0,1:00 o'clock in the morning,AM_TIME_START
1,one o'clock in the morning,AM_TIME_START
2,02:00 AM,AM_TIME_START
3,two AM,AM_TIME_START
4,03:00 A.M.,AM_TIME_START
5,three A.M.,AM_TIME_START
6,04:00 AM,AM_TIME_START
7,four AM,AM_TIME_START
8,05:00 am,AM_TIME_START
9,five am,AM_TIME_START
10,6:00 am,AM_TIME_START
11,six am,AM_TIME_START
12,07:00 AM,AM_TIME_START
13,seven AM,AM_TIME_START
14,8:00 a.m.,AM_TIME_START
15,eight a.m.,AM_TIME_START
16,9:00 a.m.,AM_TIME_START
17,nine a.m.,AM_TIME_START
18,10:00 am,AM_TIME_START
19,ten am,AM_TIME_START
20,11:00,AM_TIME_START
21,eleven,AM_TIME_START
22,12:00 AM,AM_TIME_START
23,twelve AM,AM_TIME_START
24,12:00None,PM_TIME_START
25,twelveNone,PM_TIME_START
26,11:00 p.m.,PM_TIME_START
27,eleven p.m.,PM_TIME_START
28,10:00 PM,PM_TIME_START
29,ten PM,PM_TIME_START
30,09:00 P.M.,PM_TIME_START
31,nine P.M.,PM_TIME_START
32,8:00 pm,PM_TIME_START
33,eight pm,PM_TIME_START
34,07:00 P.M.,PM_TIME_START
35,seven P.M.,PM_TIME_START
36,6:00,PM_TIME_START
37,six,PM_TIME_START
38,5:00 PM,PM_TIME_START
39,five PM,PM_TIME_START
40,4:00 PM,PM_TIME_START
41,four PM,PM_TIME_START
42,03:00 pm,PM_TIME_START
43,three pm,PM_TIME_START
44,2:00 PM,PM_TIME_START
45,two PM,PM_TIME_START
46,1:00 p.m.,PM_TIME_START
47,one p.m.,PM_TIME_START
48,00:00,MILITARY_TIME_START
49,00:00 hours,MILITARY_TIME_START
50,zero hundred hours,MILITARY_TIME_START
51,01:00,MILITARY_TIME_START
52,01:00 hours,MILITARY_TIME_START
53,one hundred hours,MILITARY_TIME_START
54,02:00,MILITARY_TIME_START
55,02:00 hours,MILITARY_TIME_START
56,two hundred hours,MILITARY_TIME_START
57,03:00,MILITARY_TIME_START
58,03:00 hours,MILITARY_TIME_START
59,three hundred hours,MILITARY_TIME_START
60,04:00,MILITARY_TIME_START
61,04:00 hours,MILITARY_TIME_START
62,four hundred hours,MILITARY_TIME_START
63,05:00,MILITARY_TIME_START
64,05:00 hours,MILITARY_TIME_START
65,five hundred hours,MILITARY_TIME_START
66,06:00,MILITARY_TIME_START
67,06:00 hours,MILITARY_TIME_START
68,six hundred hours,MILITARY_TIME_START
69,07:00,MILITARY_TIME_START
70,07:00 hours,MILITARY_TIME_START
71,seven hundred hours,MILITARY_TIME_START
72,08:00,MILITARY_TIME_START
73,08:00 hours,MILITARY_TIME_START
74,eight hundred hours,MILITARY_TIME_START
75,09:00,MILITARY_TIME_START
76,09:00 hours,MILITARY_TIME_START
77,nine hundred hours,MILITARY_TIME_START
78,10:00,MILITARY_TIME_START
79,10:00 hours,MILITARY_TIME_START
80,ten hundred hours,MILITARY_TIME_START
81,11:00,MILITARY_TIME_START
82,11:00 hours,MILITARY_TIME_START
83,eleven hundred hours,MILITARY_TIME_START
84,12:00,MILITARY_TIME_START
85,12:00 hours,MILITARY_TIME_START
86,twelve hundred hours,MILITARY_TIME_START
87,13:00,MILITARY_TIME_START
88,13:00 hours,MILITARY_TIME_START
89,thirteen hundred hours,MILITARY_TIME_START
90,14:00,MILITARY_TIME_START
91,14:00 hours,MILITARY_TIME_START
92,fourteen hundred hours,MILITARY_TIME_START
93,15:00,MILITARY_TIME_START
94,15:00 hours,MILITARY_TIME_START
95,fifteen hundred hours,MILITARY_TIME_START
96,16:00,MILITARY_TIME_START
97,16:00 hours,MILITARY_TIME_START
98,sixteen hundred hours,MILITARY_TIME_START
99,17:00,MILITARY_TIME_START
100,17:00 hours,MILITARY_TIME_START
101,seventeen hundred hours,MILITARY_TIME_START
102,18:00,MILITARY_TIME_START
103,18:00 hours,MILITARY_TIME_START
104,eighteen hundred hours,MILITARY_TIME_START
105,19:00,MILITARY_TIME_START
106,19:00 hours,MILITARY_TIME_START
107,nineteen hundred hours,MILITARY_TIME_START
108,20:00,MILITARY_TIME_START
109,20:00 hours,MILITARY_TIME_START
110,twenty hundred hours,MILITARY_TIME_START
111,21:00,MILITARY_TIME_START
112,21:00 hours,MILITARY_TIME_START
113,twenty-one hundred hours,MILITARY_TIME_START
114,22:00,MILITARY_TIME_START
115,22:00 hours,MILITARY_TIME_START
116,twenty-two hundred hours,MILITARY_TIME_START
117,23:00,MILITARY_TIME_START
118,23:00 hours,MILITARY_TIME_START
119,twenty-three hundred hours,MILITARY_TIME_START
120,1:01 am,AM_TIME_START
121,one o one am,AM_TIME_START
122,02:01 A.M.,AM_TIME_START
123,two o one A.M.,AM_TIME_START
124,03:01 AM,AM_TIME_START
125,three o one AM,AM_TIME_START
126,04:01 A.M.,AM_TIME_START
127,four o one A.M.,AM_TIME_START
128,5:01 A.M.,AM_TIME_START
129,five o one A.M.,AM_TIME_START
130,6:01 am,AM_TIME_START
131,six o one am,AM_TIME_START
132,7:01 am,AM_TIME_START
133,seven o one am,AM_TIME_START
134,08:01 a.m.,AM_TIME_START
135,eight o one a.m.,AM_TIME_START
136,09:01 a.m.,AM_TIME_START
137,nine o one a.m.,AM_TIME_START
138,10:01 in the morning,AM_TIME_START
139,ten o one in the morning,AM_TIME_START
140,11:01,AM_TIME_START
141,eleven o one,AM_TIME_START
142,12:01 in the morning,AM_TIME_START
143,twelve o one in the morning,AM_TIME_START
144,12:01None,PM_TIME_START
145,twelve o oneNone,PM_TIME_START
146,11:01 P.M.,PM_TIME_START
147,eleven o one P.M.,PM_TIME_START
148,10:01 pm,PM_TIME_START
149,ten o one pm,PM_TIME_START
150,9:01 at night,PM_TIME_START
151,nine o one at night,PM_TIME_START
152,08:01 pm,PM_TIME_START
153,eight o one pm,PM_TIME_START
154,7:01 pm,PM_TIME_START
155,seven o one pm,PM_TIME_START
156,6:01 PM,PM_TIME_START
157,six o one PM,PM_TIME_START
158,05:01 pm,PM_TIME_START
159,five o one pm,PM_TIME_START
160,4:01,PM_TIME_START
161,four o one,PM_TIME_START
162,03:01,PM_TIME_START
163,three o one,PM_TIME_START
164,2:01 p.m.,PM_TIME_START
165,two o one p.m.,PM_TIME_START
166,1:01 PM,PM_TIME_START
167,one o one PM,PM_TIME_START
168,00:01,MILITARY_TIME_START
169,00:01 hours,MILITARY_TIME_START
170,twenty-four hundred zero one,MILITARY_TIME_START
171,01:01,MILITARY_TIME_START
172,01:01 hours,MILITARY_TIME_START
173,one hundred zero one,MILITARY_TIME_START
174,02:01,MILITARY_TIME_START
175,02:01 hours,MILITARY_TIME_START
176,two hundred zero one,MILITARY_TIME_START
177,03:01,MILITARY_TIME_START
178,03:01 hours,MILITARY_TIME_START
179,three hundred zero one,MILITARY_TIME_START
180,04:01,MILITARY_TIME_START
181,04:01 hours,MILITARY_TIME_START
182,four hundred zero one,MILITARY_TIME_START
183,05:01,MILITARY_TIME_START
184,05:01 hours,MILITARY_TIME_START
185,five hundred zero one,MILITARY_TIME_START
186,06:01,MILITARY_TIME_START
187,06:01 hours,MILITARY_TIME_START
188,six hundred zero one,MILITARY_TIME_START
189,07:01,MILITARY_TIME_START
190,07:01 hours,MILITARY_TIME_START
191,seven hundred zero one,MILITARY_TIME_START
192,08:01,MILITARY_TIME_START
193,08:01 hours,MILITARY_TIME_START
194,eight hundred zero one,MILITARY_TIME_START
195,09:01,MILITARY_TIME_START
196,09:01 hours,MILITARY_TIME_START
197,nine hundred zero one,MILITARY_TIME_START
198,10:01,MILITARY_TIME_START
199,10:01 hours,MILITARY_TIME_START
200,ten hundred zero one,MILITARY_TIME_START
201,11:01,MILITARY_TIME_START
202,11:01 hours,MILITARY_TIME_START
203,eleven hundred zero one,MILITARY_TIME_START
204,12:01,MILITARY_TIME_START
205,12:01 hours,MILITARY_TIME_START
206,twelve hundred zero one,MILITARY_TIME_START
207,13:01,MILITARY_TIME_START
208,13:01 hours,MILITARY_TIME_START
209,thirteen hundred zero one,MILITARY_TIME_START
210,14:01,MILITARY_TIME_START
211,14:01 hours,MILITARY_TIME_START
212,fourteen hundred zero one,MILITARY_TIME_START
213,15:01,MILITARY_TIME_START
214,15:01 hours,MILITARY_TIME_START
215,fifteen hundred zero one,MILITARY_TIME_START
216,16:01,MILITARY_TIME_START
217,16:01 hours,MILITARY_TIME_START
218,sixteen hundred zero one,MILITARY_TIME_START
219,17:01,MILITARY_TIME_START
220,17:01 hours,MILITARY_TIME_START
221,seventeen hundred zero one,MILITARY_TIME_START
222,18:01,MILITARY_TIME_START
223,18:01 hours,MILITARY_TIME_START
224,eighteen hundred zero one,MILITARY_TIME_START
225,19:01,MILITARY_TIME_START
226,19:01 hours,MILITARY_TIME_START
227,nineteen hundred zero one,MILITARY_TIME_START
228,20:01,MILITARY_TIME_START
229,20:01 hours,MILITARY_TIME_START
230,twenty hundred zero one,MILITARY_TIME_START
231,21:01,MILITARY_TIME_START
232,21:01 hours,MILITARY_TIME_START
