,Text,Label
0,this morning,RELATIVE_TIME
1,this afternoon,RELATIVE_TIME
2,this evening,RELATIVE_TIME
3,this night,RELATIVE_TIME
4,for the morning,RELATIVE_TIME
5,for the afternoon,RELATIVE_TIME
6,for the evening,RELATIVE_TIME
7,for the night,RELATIVE_TIME
8,for this morning,RELATIVE_TIME
9,for this afternoon,RELATIVE_TIME
10,for this evening,RELATIVE_TIME
11,for this night,RELATIVE_TIME
12,in the morning,RELATIVE_TIME
13,in the afternoon,RELATIVE_TIME
14,in the evening,RELATIVE_TIME
15,in the night,RELATIVE_TIME
16,around the morning,RELATIVE_TIME
17,around the afternoon,RELATIVE_TIME
18,around the evening,RELATIVE_TIME
19,around the night,RELATIVE_TIME
20,later in the morning,RELATIVE_TIME
21,later in the afternoon,RELATIVE_TIME
22,later in the evening,RELATIVE_TIME
23,later in the night,RELATIVE_TIME
24,later this morning,RELATIVE_TIME
25,later this afternoon,RELATIVE_TIME
26,later this evening,RELATIVE_TIME
27,later this night,RELATIVE_TIME
28,later today morning,RELATIVE_TIME
29,later today afternoon,RELATIVE_TIME
30,later today evening,RELATIVE_TIME
31,later today night,RELATIVE_TIME
32,for 1 hour from now,RELATIVE_TIME
33,for one hour from now,RELATIVE_TIME
34,for an hour from now,RELATIVE_TIME
35,for a hour from now,RELATIVE_TIME
36,in 1 hour,RELATIVE_TIME
37,in about 1 hour,RELATIVE_TIME
38,in an hour,RELATIVE_TIME
39,in a hour,RELATIVE_TIME
40,in 1 hour from now,RELATIVE_TIME
41,in one hour from now,RELATIVE_TIME
42,in an hour from now,RELATIVE_TIME
43,in a hour from now,RELATIVE_TIME
44,around 1 hour from now,RELATIVE_TIME
45,around one hour from now,RELATIVE_TIME
46,around an hour from now,RELATIVE_TIME
47,around a hour from now,RELATIVE_TIME
48,about 1 hour from now,RELATIVE_TIME
49,about one hour from now,RELATIVE_TIME
50,about an hour from now,RELATIVE_TIME
51,about a hour from now,RELATIVE_TIME
52,around 2 hours from now,RELATIVE_TIME
53,around two hours from now,RELATIVE_TIME
54,around an hour from now,RELATIVE_TIME
55,around a hour from now,RELATIVE_TIME
56,beginning in 2 hours,RELATIVE_TIME
57,beginning in about 2 hours,RELATIVE_TIME
58,beginning in an hour,RELATIVE_TIME
59,beginning in a hour,RELATIVE_TIME
60,beginning in 2 hours from now,RELATIVE_TIME
61,beginning in two hours from now,RELATIVE_TIME
62,beginning in an hour from now,RELATIVE_TIME
63,beginning in a hour from now,RELATIVE_TIME
64,about 2 hours from now,RELATIVE_TIME
65,about two hours from now,RELATIVE_TIME
66,about an hour from now,RELATIVE_TIME
67,about a hour from now,RELATIVE_TIME
68,in 2 hours,RELATIVE_TIME
69,in about 2 hours,RELATIVE_TIME
70,in an hour,RELATIVE_TIME
71,in a hour,RELATIVE_TIME
72,in 2 hours from now,RELATIVE_TIME
73,in two hours from now,RELATIVE_TIME
74,in an hour from now,RELATIVE_TIME
75,in a hour from now,RELATIVE_TIME
76,starting in 2 hours,RELATIVE_TIME
77,starting in about 2 hours,RELATIVE_TIME
78,starting in an hour,RELATIVE_TIME
79,starting in a hour,RELATIVE_TIME
80,starting in 2 hours from now,RELATIVE_TIME
81,starting in two hours from now,RELATIVE_TIME
82,starting in an hour from now,RELATIVE_TIME
83,starting in a hour from now,RELATIVE_TIME
84,around 3 hours from now,RELATIVE_TIME
85,around three hours from now,RELATIVE_TIME
86,around an hour from now,RELATIVE_TIME
87,around a hour from now,RELATIVE_TIME
88,beginning in 3 hours,RELATIVE_TIME
89,beginning in about 3 hours,RELATIVE_TIME
90,beginning in an hour,RELATIVE_TIME
91,beginning in a hour,RELATIVE_TIME
92,beginning in 3 hours from now,RELATIVE_TIME
93,beginning in three hours from now,RELATIVE_TIME
94,beginning in an hour from now,RELATIVE_TIME
95,beginning in a hour from now,RELATIVE_TIME
96,about 3 hours from now,RELATIVE_TIME
97,about three hours from now,RELATIVE_TIME
98,about an hour from now,RELATIVE_TIME
99,about a hour from now,RELATIVE_TIME
100,in 3 hours,RELATIVE_TIME
101,in about 3 hours,RELATIVE_TIME
102,in an hour,RELATIVE_TIME
103,in a hour,RELATIVE_TIME
104,in 3 hours from now,RELATIVE_TIME
105,in three hours from now,RELATIVE_TIME
106,in an hour from now,RELATIVE_TIME
107,in a hour from now,RELATIVE_TIME
108,starting in 3 hours,RELATIVE_TIME
109,starting in about 3 hours,RELATIVE_TIME
110,starting in an hour,RELATIVE_TIME
111,starting in a hour,RELATIVE_TIME
112,starting in 3 hours from now,RELATIVE_TIME
113,starting in three hours from now,RELATIVE_TIME
114,starting in an hour from now,RELATIVE_TIME
115,starting in a hour from now,RELATIVE_TIME
116,around 4 hours from now,RELATIVE_TIME
117,around four hours from now,RELATIVE_TIME
118,around an hour from now,RELATIVE_TIME
119,around a hour from now,RELATIVE_TIME
120,beginning in 4 hours,RELATIVE_TIME
121,beginning in about 4 hours,RELATIVE_TIME
122,beginning in an hour,RELATIVE_TIME
123,beginning in a hour,RELATIVE_TIME
124,beginning in 4 hours from now,RELATIVE_TIME
125,beginning in four hours from now,RELATIVE_TIME
126,beginning in an hour from now,RELATIVE_TIME
127,beginning in a hour from now,RELATIVE_TIME
128,about 4 hours from now,RELATIVE_TIME
129,about four hours from now,RELATIVE_TIME
130,about an hour from now,RELATIVE_TIME
131,about a hour from now,RELATIVE_TIME
132,in 4 hours,RELATIVE_TIME
133,in about 4 hours,RELATIVE_TIME
134,in an hour,RELATIVE_TIME
135,in a hour,RELATIVE_TIME
136,in 4 hours from now,RELATIVE_TIME
137,in four hours from now,RELATIVE_TIME
138,in an hour from now,RELATIVE_TIME
139,in a hour from now,RELATIVE_TIME
140,starting in 4 hours,RELATIVE_TIME
141,starting in about 4 hours,RELATIVE_TIME
142,starting in an hour,RELATIVE_TIME
143,starting in a hour,RELATIVE_TIME
144,starting in 4 hours from now,RELATIVE_TIME
145,starting in four hours from now,RELATIVE_TIME
146,starting in an hour from now,RELATIVE_TIME
147,starting in a hour from now,RELATIVE_TIME
148,around 5 hours from now,RELATIVE_TIME
149,around five hours from now,RELATIVE_TIME
150,around an hour from now,RELATIVE_TIME
151,around a hour from now,RELATIVE_TIME
152,beginning in 5 hours,RELATIVE_TIME
153,beginning in about 5 hours,RELATIVE_TIME
154,beginning in an hour,RELATIVE_TIME
155,beginning in a hour,RELATIVE_TIME
156,beginning in 5 hours from now,RELATIVE_TIME
157,beginning in five hours from now,RELATIVE_TIME
158,beginning in an hour from now,RELATIVE_TIME
159,beginning in a hour from now,RELATIVE_TIME
160,about 5 hours from now,RELATIVE_TIME
161,about five hours from now,RELATIVE_TIME
162,about an hour from now,RELATIVE_TIME
163,about a hour from now,RELATIVE_TIME
164,in 5 hours,RELATIVE_TIME
165,in about 5 hours,RELATIVE_TIME
166,in an hour,RELATIVE_TIME
167,in a hour,RELATIVE_TIME
168,in 5 hours from now,RELATIVE_TIME
169,in five hours from now,RELATIVE_TIME
170,in an hour from now,RELATIVE_TIME
171,in a hour from now,RELATIVE_TIME
172,starting in 5 hours,RELATIVE_TIME
173,starting in about 5 hours,RELATIVE_TIME
174,starting in an hour,RELATIVE_TIME
175,starting in a hour,RELATIVE_TIME
176,starting in 5 hours from now,RELATIVE_TIME
177,starting in five hours from now,RELATIVE_TIME
178,starting in an hour from now,RELATIVE_TIME
179,starting in a hour from now,RELATIVE_TIME
180,around 6 hours from now,RELATIVE_TIME
181,around six hours from now,RELATIVE_TIME
182,around an hour from now,RELATIVE_TIME
183,around a hour from now,RELATIVE_TIME
184,beginning in 6 hours,RELATIVE_TIME
185,beginning in about 6 hours,RELATIVE_TIME
186,beginning in an hour,RELATIVE_TIME
187,beginning in a hour,RELATIVE_TIME
188,beginning in 6 hours from now,RELATIVE_TIME
189,beginning in six hours from now,RELATIVE_TIME
190,beginning in an hour from now,RELATIVE_TIME
191,beginning in a hour from now,RELATIVE_TIME
192,about 6 hours from now,RELATIVE_TIME
193,about six hours from now,RELATIVE_TIME
194,about an hour from now,RELATIVE_TIME
195,about a hour from now,RELATIVE_TIME
196,in 6 hours,RELATIVE_TIME
197,in about 6 hours,RELATIVE_TIME
198,in an hour,RELATIVE_TIME
199,in a hour,RELATIVE_TIME
200,in 6 hours from now,RELATIVE_TIME
201,in six hours from now,RELATIVE_TIME
202,in an hour from now,RELATIVE_TIME
203,in a hour from now,RELATIVE_TIME
204,starting in 6 hours,RELATIVE_TIME
205,starting in about 6 hours,RELATIVE_TIME
206,starting in an hour,RELATIVE_TIME
207,starting in a hour,RELATIVE_TIME
208,starting in 6 hours from now,RELATIVE_TIME
209,starting in six hours from now,RELATIVE_TIME
210,starting in an hour from now,RELATIVE_TIME
211,starting in a hour from now,RELATIVE_TIME
212,around 7 hours from now,RELATIVE_TIME
213,around seven hours from now,RELATIVE_TIME
214,around an hour from now,RELATIVE_TIME
215,around a hour from now,RELATIVE_TIME
216,beginning in 7 hours,RELATIVE_TIME
217,beginning in about 7 hours,RELATIVE_TIME
218,beginning in an hour,RELATIVE_TIME
219,beginning in a hour,RELATIVE_TIME
220,beginning in 7 hours from now,RELATIVE_TIME
221,beginning in seven hours from now,RELATIVE_TIME
222,beginning in an hour from now,RELATIVE_TIME
223,beginning in a hour from now,RELATIVE_TIME
224,about 7 hours from now,RELATIVE_TIME
225,about seven hours from now,RELATIVE_TIME
226,about an hour from now,RELATIVE_TIME
227,about a hour from now,RELATIVE_TIME
228,in 7 hours,RELATIVE_TIME
229,in about 7 hours,RELATIVE_TIME
230,in an hour,RELATIVE_TIME
231,in a hour,RELATIVE_TIME
232,in 7 hours from now,RELATIVE_TIME
233,in seven hours from now,RELATIVE_TIME
234,in an hour from now,RELATIVE_TIME
235,in a hour from now,RELATIVE_TIME
236,starting in 7 hours,RELATIVE_TIME
237,starting in about 7 hours,RELATIVE_TIME
238,starting in an hour,RELATIVE_TIME
239,starting in a hour,RELATIVE_TIME
240,starting in 7 hours from now,RELATIVE_TIME
241,starting in seven hours from now,RELATIVE_TIME
242,starting in an hour from now,RELATIVE_TIME
243,starting in a hour from now,RELATIVE_TIME
244,around 8 hours from now,RELATIVE_TIME
245,around eight hours from now,RELATIVE_TIME
246,around an hour from now,RELATIVE_TIME
247,around a hour from now,RELATIVE_TIME
248,beginning in 8 hours,RELATIVE_TIME
249,beginning in about 8 hours,RELATIVE_TIME
250,beginning in an hour,RELATIVE_TIME
251,beginning in a hour,RELATIVE_TIME
252,beginning in 8 hours from now,RELATIVE_TIME
253,beginning in eight hours from now,RELATIVE_TIME
254,beginning in an hour from now,RELATIVE_TIME
255,beginning in a hour from now,RELATIVE_TIME
256,about 8 hours from now,RELATIVE_TIME
257,about eight hours from now,RELATIVE_TIME
258,about an hour from now,RELATIVE_TIME
259,about a hour from now,RELATIVE_TIME
260,in 8 hours,RELATIVE_TIME
261,in about 8 hours,RELATIVE_TIME
262,in an hour,RELATIVE_TIME
263,in a hour,RELATIVE_TIME
264,in 8 hours from now,RELATIVE_TIME
265,in eight hours from now,RELATIVE_TIME
266,in an hour from now,RELATIVE_TIME
267,in a hour from now,RELATIVE_TIME
268,starting in 8 hours,RELATIVE_TIME
269,starting in about 8 hours,RELATIVE_TIME
270,starting in an hour,RELATIVE_TIME
271,starting in a hour,RELATIVE_TIME
272,starting in 8 hours from now,RELATIVE_TIME
273,starting in eight hours from now,RELATIVE_TIME
274,starting in an hour from now,RELATIVE_TIME
275,starting in a hour from now,RELATIVE_TIME
276,around 9 hours from now,RELATIVE_TIME
277,around nine hours from now,RELATIVE_TIME
278,around an hour from now,RELATIVE_TIME
279,around a hour from now,RELATIVE_TIME
280,beginning in 9 hours,RELATIVE_TIME
281,beginning in about 9 hours,RELATIVE_TIME
282,beginning in an hour,RELATIVE_TIME
283,beginning in a hour,RELATIVE_TIME
284,beginning in 9 hours from now,RELATIVE_TIME
285,beginning in nine hours from now,RELATIVE_TIME
286,beginning in an hour from now,RELATIVE_TIME
287,beginning in a hour from now,RELATIVE_TIME
288,about 9 hours from now,RELATIVE_TIME
289,about nine hours from now,RELATIVE_TIME
290,about an hour from now,RELATIVE_TIME
291,about a hour from now,RELATIVE_TIME
292,in 9 hours,RELATIVE_TIME
293,in about 9 hours,RELATIVE_TIME
294,in an hour,RELATIVE_TIME
295,in a hour,RELATIVE_TIME
296,in 9 hours from now,RELATIVE_TIME
297,in nine hours from now,RELATIVE_TIME
298,in an hour from now,RELATIVE_TIME
299,in a hour from now,RELATIVE_TIME
300,starting in 9 hours,RELATIVE_TIME
301,starting in about 9 hours,RELATIVE_TIME
302,starting in an hour,RELATIVE_TIME
303,starting in a hour,RELATIVE_TIME
304,starting in 9 hours from now,RELATIVE_TIME
305,starting in nine hours from now,RELATIVE_TIME
306,starting in an hour from now,RELATIVE_TIME
307,starting in a hour from now,RELATIVE_TIME
308,around 10 hours from now,RELATIVE_TIME
