,Start_Time,Start_Label,End_Time,End_Label
0,01:00 AM,AM_TIME_START,02:00,AM_TIME_END
1,one AM,AM_TIME_START,two,AM_TIME_END
2,02:00 o'clock,AM_TIME_START,03:00,AM_TIME_END
3,two o'clock,AM_TIME_START,three,AM_TIME_END
4,03:00 o'clock,AM_TIME_START,04:00 A.M.,AM_TIME_END
5,three o'clock,AM_TIME_START,four A.M.,AM_TIME_END
6,04:00 o'clock,AM_TIME_START,5:00 A.M.,AM_TIME_END
7,four o'clock,AM_TIME_START,five A.M.,AM_TIME_END
8,05:00 am,AM_TIME_START,06:00,AM_TIME_END
9,five am,AM_TIME_START,six,AM_TIME_END
10,6:00,AM_TIME_START,7:00 o'clock in the morning,AM_TIME_END
11,six,AM_TIME_START,seven o'clock in the morning,AM_TIME_END
12,07:00,AM_TIME_START,8:00 a.m.,AM_TIME_END
13,seven,AM_TIME_START,eight a.m.,AM_TIME_END
14,8:00 a.m.,AM_TIME_START,09:00,AM_TIME_END
15,eight a.m.,AM_TIME_START,nine,AM_TIME_END
16,09:00 a.m.,AM_TIME_START,10:00 o'clock in the morning,AM_TIME_END
17,nine a.m.,AM_TIME_START,ten o'clock in the morning,AM_TIME_END
18,10:00 a.m.,AM_TIME_START,11:00 a.m.,AM_TIME_END
19,ten a.m.,AM_TIME_START,eleven a.m.,AM_TIME_END
20,11:00 o'clock,AM_TIME_START,12:00 in the afternoon,PM_TIME_END
21,eleven o'clock,AM_TIME_START,twelve PM,PM_TIME_END
22,12:00,AM_TIME_START,01:00 AM,AM_TIME_END
23,twelve,AM_TIME_START,one AM,AM_TIME_END
24,12:00None,PM_TIME_START,01:00 P.M.,PM_TIME_END
25,twelveNone,PM_TIME_START,one P.M.,PM_TIME_END
26,11:00 p.m.,PM_TIME_START,12:00 a.m.,AM_TIME_END
27,eleven p.m.,PM_TIME_START,twelve AM,AM_TIME_END
28,10:00,PM_TIME_START,11:00 o'clock at night,PM_TIME_END
29,ten,PM_TIME_START,eleven o'clock at night,PM_TIME_END
30,9:00 p.m.,PM_TIME_START,10:00 o'clock at night,PM_TIME_END
31,nine p.m.,PM_TIME_START,ten o'clock at night,PM_TIME_END
32,8:00 pm,PM_TIME_START,09:00 PM,PM_TIME_END
33,eight pm,PM_TIME_START,nine PM,PM_TIME_END
34,07:00 pm,PM_TIME_START,08:00 p.m.,PM_TIME_END
35,seven pm,PM_TIME_START,eight p.m.,PM_TIME_END
36,06:00 P.M.,PM_TIME_START,07:00 P.M.,PM_TIME_END
37,six P.M.,PM_TIME_START,seven P.M.,PM_TIME_END
38,5:00 pm,PM_TIME_START,6:00 p.m.,PM_TIME_END
39,five pm,PM_TIME_START,six p.m.,PM_TIME_END
40,04:00,PM_TIME_START,5:00 pm,PM_TIME_END
41,four,PM_TIME_START,five pm,PM_TIME_END
42,3:00,PM_TIME_START,04:00 P.M.,PM_TIME_END
43,three,PM_TIME_START,four P.M.,PM_TIME_END
44,2:00 P.M.,PM_TIME_START,3:00,PM_TIME_END
45,two P.M.,PM_TIME_START,three,PM_TIME_END
46,1:00 PM,PM_TIME_START,2:00 pm,PM_TIME_END
47,one PM,PM_TIME_START,two pm,PM_TIME_END
48,00:00,MILITARY_TIME_START,23:00,MILITARY_TIME_END
49,00:00 hours,MILITARY_TIME_START,23:00 hours,MILITARY_TIME_END
50,twenty-four hundred hours,MILITARY_TIME_START,twenty-three hundred hours,MILITARY_TIME_END
51,01:00,MILITARY_TIME_START,22:00,MILITARY_TIME_END
52,01:00 hours,MILITARY_TIME_START,22:00 hours,MILITARY_TIME_END
53,one hundred hours,MILITARY_TIME_START,twenty-two hundred hours,MILITARY_TIME_END
54,02:00,MILITARY_TIME_START,21:00,MILITARY_TIME_END
55,02:00 hours,MILITARY_TIME_START,21:00 hours,MILITARY_TIME_END
56,two hundred hours,MILITARY_TIME_START,twenty-one hundred hours,MILITARY_TIME_END
57,03:00,MILITARY_TIME_START,20:00,MILITARY_TIME_END
58,03:00 hours,MILITARY_TIME_START,20:00 hours,MILITARY_TIME_END
59,three hundred hours,MILITARY_TIME_START,twenty hundred hours,MILITARY_TIME_END
60,04:00,MILITARY_TIME_START,19:00,MILITARY_TIME_END
61,04:00 hours,MILITARY_TIME_START,19:00 hours,MILITARY_TIME_END
62,four hundred hours,MILITARY_TIME_START,nineteen hundred hours,MILITARY_TIME_END
63,05:00,MILITARY_TIME_START,18:00,MILITARY_TIME_END
64,05:00 hours,MILITARY_TIME_START,18:00 hours,MILITARY_TIME_END
